LATITUD_DEL_ESTADO,LONGITUD_DEL_ESTADO,PODER_EJECUTIVO_ENTIDAD,PODER_EJECUTIVO_GOBERNADOR,PODER_EJECUTIVO_PARTIDO,URL_ESTADO,PODER_EJECUTIVO_PERIODO,PODER_EJECUTIVO_ORGANISMOS_ESTATALES_DE_CIENCIA_Y__TECNOLOGÍA,TIPO_ORGANISMO,PODER_EJECUTIVO_TITULAR_DEL_ORGANISMO,PODER_EJECUTIVO_PROGRAMA_ESTATAL_DE_CIENCIA_,"PODER_EJECUTIVO_GASTO_EN_CIENCIA,TECNOLOGÍA_E_INNOVACIÓN",PODER_LEGISLATIVO_COMISIONES_CIENCIA_Y_TECNOLOGÍA,"PODER_LEGISLATIVO_COMISIONES_CIENCIA,_TECNOLOGÍA_E_INNOVACIÓN","PODER_LEGISLATIVO_COMISIONES_EUDCACIÓN,_CULTURA,_CIENCIA_Y_TECNOLOGÍA",PODER_LEGISLATIVO_COMISIONES_S/C,PODER_LEGISLATIVO_PRESIDENTE_COMISION,PODER_LEGISLATIVO_PERIODO_LEGISLATIVO_INICIA,PODER_LEGISLATIVO_PERIODO_LEGISLATIVO_TERMINA,Ley_Egresos,Ley_de_CTI,Presupuesto,Innovacion,Acceso_Abierto,Vinculacion,genero_CTI
25.6866,-100.3161,Nuevo Leon,Dr. Samuel Alejandro García Sepúlveda,MC,https://www.nl.gob.mx/,2022-2027,Instituto de Innovacion y Transferencia de Tecnología de Nuevo León (I2T2),Instituto,Mtro. José Alfredo Pérez Bernal ,SI,0.07%,,,,●,Norma Edith Benítez Rivera,31-ago-21,31-ago-24,,Sí,Sí,Sí,Sí,Sí,Sí
17.0732,-96.7266,Oaxaca,Ing. Salomón Jara Cruz,MORENA,https://www.oaxaca.gob.mx/,2022-2028,"Consejo Oaxaqueño de Ciencia, Tecnología e Innovación (COCITEI)",Consejo,Mtra. Xhunaxhi Fernanda Mau Gomez,SI,0.27%,,●,,,Juana Aguilar Espinoza,15-nov-21,14-nov-24,https://www.finanzasoaxaca.gob.mx/pdf/cumplimientos/2024/anteproyecto%20DECRETO%20PRESUPUESTO%20DE%20EGRESOS.pdf,Sí,Sí,Sí,Sí,Sí,Sí
19.0414,-98.2063,Puebla,Lic. Sergio Salomón Céspedes Peregrina,MORENA,https://www.puebla.gob.mx/,2022-2024,Consejo de Ciencia y Tecnología del Estado de Puebla (CONCYTEP),Consejo,Dr. Victoriano Gabriel Covarrubias Salvatori ,,0.02%,●,,,,Erika Patricia Valencia Ávila,15-sep-21,14-sep-24,https://ojp.puebla.gob.mx/media/k2/attachments/T_7_29122023_C.pdf,Sí,Sí,Sí,Sí,Sí,No
20.5888,-100.3899,Queretaro,Lic. Mauricio Kuri González,PAN,https://www.queretaro.gob.mx/,2021-2027,Consejo de Ciencia y Tecnología del Estado de Querétaro (CONCYTEQ),Consejo,Dr. Enrique Rabell García,SI,N/I,,,●,,Laura Andrea Tovar Saavedra,26-sep-21,25-sep-24,https://portalfiscal.municipiodequeretaro.gob.mx/dist-assets/pdf/b2/2.10/13_MUNQRO_Presupuesto_de_Egresos_2024.pdf,Sí,Sí,Sí,Sí,Sí,No
18.49958,-88.2969,Quintana Roo,Lic. María Elena Lezama Espinosa,MORENA,https://qroo.gob.mx/inicio/,2022-2027,Consejo Quintanarroense de Ciencia y Tecnología (COQCYT),Consejo,Mtro. Cristopher Malpica Morales,SI,0.15%,,,●,,Alfonsa Leticia Padilla Medina,03-sep-22,02-sep-24,,Sí,Sí,Sí,Sí,Sí,Sí
22.1565,-100.9855,San Luis Potosi,Lic. José Ricardo Gallardo Cardona,PVEM,https://slp.gob.mx/sitionuevo/Paginas/Inicio.aspx,2021-2027,Consejo Potosino de Ciencia y Tecnología (COPOCYT),Consejo,Dra. Rosalba Medina Rivera ,SI,0.27%,,,●,,María Claudia Tristán Alvarado,15-sep-21,14-sep-24,https://slp.gob.mx/finanzas/Documentos%20compartidos/Ley%20del%20Presupuesto%20de%20Egresos%20San%20Luis%20Potos%c3%ad%202024_compressed.pdf,Sí,Sí,Sí,Sí,Sí,Sí
24.7994,-107.3897,Sinaloa,Dr. Rubén Rocha Moya,MORENA,https://sinaloa.gob.mx/,2021-2027,Coordinación General para el fomento a la Investigación Científica e Innovación del Estado de Sinaloa (CONFÍE),Coordinación,Dr. Carlos Karam Quiñones,SI,0.34%,●,,,,Adolfo Beltrán Corrales,01-oct-21,30-sep-24,,Sí,Sí,Sí,Sí,Sí,Sí
29.0729,-110.9559,Sonora,Dr. Francisco Alfonso Durazo Montaño,MORENA,https://www.sonora.gob.mx/,2021-2027,Consejo Estatal de Ciencia y Tecnología (COECYT),Consejo,Dr. Francisco Antonio Rodríguez Valdez,,0.11%,●,,,,Ernesto de Lucas Hopkins,01-sep-21,31-ago-24,https://hacienda.sonora.gob.mx/media/204477/decreto-publicado-2024.pdf,Sí,Sí,Sí,Sí,Sí,Sí
17.8409,-92.6189,Tabasco,Lic. Carlos Manuel Merino Campos,MORENA,https://tabasco.gob.mx/,2021-2024,Consejo de Ciencia y Tecnología del Estado de Tabasco (CCYTET),Consejo,Lic. Gerardo Humberto Arévalo Reyes,SI,0.06%,,,●,,José Pablo Flores Morales,05-sep-21,04-sep-24,https://tabasco.gob.mx/PeriodicoOficial/descargar/4725,Sí,Sí,No,No,No,No
23.7369,-99.1411,Tamaulipas,Dr. Américo Villareal Anaya,MORENA,https://www.tamaulipas.gob.mx/,2022-2028,Consejo Tamaulipeco de Ciencia y Tecnología  (COTACYT),Consejo,Dr. Julio Martínez Burnes,SI,0.01%,●,,,,Ángel de Jesús Covarrubias Villaverde,01-oct-21,30-sep-24,https://po.tamaulipas.gob.mx/wp-content/uploads/2022/12/cxlvii-151-201222-EV.pdf,Sí,Sí,Sí,Sí,Sí,Sí
19.3182,-98.237,Tlaxcala,Lic. Lorena Cuellár Cisneros,MORENA,https://www.tlaxcala.gob.mx/,2021-2027,Secretaría de Desarrollo Económico del Estado de Tlaxcala (SEDECO TLAXCALA),Secretaría,Lic. Javier Marroquín Calderón,,0.00%,,,●,,Laura Alejandra Ramírez Ortiz,30-ago-21,30-ago-24,https://congresodetlaxcala.gob.mx/archivo/ingreso2024/pdf/preest.pdf,Sí,Sí,Sí,Sí,Sí,No
19.1738,-96.1342,Veracruz,Mtro. Cuitláhuac García Jiménez,MORENA,https://www.veracruz.gob.mx/,2018-2024,Consejo Veracruzano de Investigación Científica y Desarrollo Tecnológico (COVEICYDET),Consejo,Dr. Darwin Mayorga Cruz,SI,0.15%,,●,,,Miguel David Hermida Copado.,05-nov-21,04-nov-24,https://www.veracruz.gob.mx/gaceta-oficial/,Sí,Sí,Sí,Sí,Sí,Sí
20.9674,-89.5926,Yucatan,Mtro. Mauricio Vila Dosal,PAN,https://yucatan.gob.mx/,2018-2024,Secretaría de Investigación Innovación y Educación Superior (SIIES),Secretaría,Mtro. Mauricio Cámara Leal,,0.15%,,,●,,José Crescenco Gutiérrez González,01-sep-21,31-ago-24,https://www.yucatan.gob.mx/docs/transparencia/paquete_fiscal/2024/Presupuesto_Autorizado/Decreto_709-2023.pdf,Sí,Sí,Sí,Sí,Sí,No
22.7709,-102.5832,Zacatecas,Lic. David Monreal Ávila,MORENA,https://www.zacatecas.gob.mx/,2021-2027,"Consejo Zacatcano de Ciencia, Tecnología e Innovación (COZCYT)",Consejo,Dr. Hamurabi Gamboa Rosales,,0.16%,●,,,,Martha Elena Rodríguez Camarillo,07-sep-21,06-sep-24,https://www.congresozac.gob.mx/63/ley&cual=232&tipo=pdf,Sí,Sí,Sí,Sí,Sí,No
